                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache accesses               |       1312 |       7620 |       7679 |       9577 |       8355 |       8020 |       8035 |       8148 |       8806 |      10362 |       8756 |       8763 |      10748 |      10751 |      10623 |       9327 |      11611 |      11694 |      11791 |      11719 |      11644 |      11692 |      11705 |      11785 |      11457 |      11776 |      11796 |      11813 |      11266 |      11549 |      11531 |      11556
    num cache misses                 |        868 |       5093 |       4990 |       7039 |       5949 |       5694 |       5780 |       5734 |       6659 |       7954 |       6700 |       6616 |       8184 |       8319 |       8158 |       7295 |       9228 |       9506 |       9515 |       9383 |       9291 |       9299 |       9515 |       9391 |       9088 |       9458 |       9573 |       9397 |       8912 |       9354 |       9190 |       9216
    miss rate                        |     66.16% |     66.84% |     64.98% |     73.50% |     71.20% |     71.00% |     71.94% |     70.37% |     75.62% |     76.76% |     76.52% |     75.50% |     76.14% |     77.38% |     76.80% |     78.21% |     79.48% |     81.29% |     80.70% |     80.07% |     79.79% |     79.53% |     81.29% |     79.69% |     79.32% |     80.32% |     81.15% |     79.55% |     79.11% |     80.99% |     79.70% |     79.75%
    mpki                             |      14.11 |       7.57 |       7.41 |      10.52 |       8.90 |       8.52 |       8.65 |       8.58 |       9.96 |      11.90 |      10.02 |       9.90 |      12.24 |      12.45 |      12.21 |      10.91 |      13.81 |      14.22 |      14.24 |      14.04 |      13.90 |      13.91 |      14.24 |      14.05 |      13.60 |      14.15 |      14.32 |      14.06 |      13.33 |      14.00 |      13.75 |      13.79
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |      83239 |          0 |          0 |          0 |     180226 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      80262 |          0 |          0 |          0 |     134380 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |     152.96 |        inf |        inf |        inf |     321.65 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     173.97 |        inf |        inf |        inf |     206.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |      48.95 |       0.00 |       0.00 |       0.00 |     217.64 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |      69.97 |       0.00 |       0.00 |       0.00 |     102.22 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |     29.00% |      0.00% |      0.00% |      0.00% |     64.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     28.00% |      0.00% |      0.00% |      0.00% |     48.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |         59 |       2816 |       2836 |       4071 |       3525 |       3244 |       3309 |       3303 |       4103 |       4789 |       4051 |       4041 |       4891 |       4944 |       4838 |       4680 |       5274 |       5454 |       5486 |       5413 |       5312 |       5384 |       5485 |       5412 |       5342 |       5404 |       5448 |       5413 |       5184 |       5307 |       5259 |       5299
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         85 |        102 |         65 |          5 |         46 |        143 |        100 |         42 |         19 |         22 |         24 |         23 |         19 |         21 |         22 |         18 |         17 |         24 |         19 |         22 |         19 |         19 |         19 |         18 |         17 |         20 |         19 |         20 |         19 |         19 |         19 |         23
